n1,n2,m1,m2,norm_m1m2,err_m1,err_m2,delvec,m1_true,m2_true,angle
-8,-1,-8,1,8.06225774829855,-5.706830279450514e-7,-4.565474809870018e-6,0.000018359750851698466,-8.000000570683028,0.9999954345251901,14.25
-1,8,1,8,8.06225774829855,-4.565474809647974e-6,5.706830297214083e-7,0.000018359750851698462,0.9999954345251904,8.00000057068303,14.25
1,-8,-1,-8,8.06225774829855,4.565474809647974e-6,-5.706830297214083e-7,0.000018359750851698462,-0.9999954345251904,-8.00000057068303,14.25
8,1,8,-1,8.06225774829855,5.706830279450514e-7,4.565474809870018e-6,0.000018359750851698466,8.000000570683028,-0.9999954345251901,14.25
-9,7,-7,9,11.40175425099138,-5.136157839480404e-6,-3.994791782702123e-6,0.000025964608656262954,-7.0000051361578395,8.999996005208217,14.25
-7,-9,-9,-7,11.40175425099138,3.994791780925766e-6,-5.136157838592226e-6,0.00002596460865190064,-8.999996005208219,-7.000005136157839,14.25
7,9,9,7,11.40175425099138,-3.994791780925766e-6,5.136157838592226e-6,0.00002596460865190064,8.999996005208219,7.000005136157839,14.25
9,-7,7,-9,11.40175425099138,5.136157839480404e-6,3.994791782702123e-6,0.000025964608656262954,7.0000051361578395,-8.999996005208217,14.25
-16,-2,-16,2,16.1245154965971,-1.1413660558901029e-6,-9.130949619740036e-6,0.00003671950170339693,-16.000001141366056,1.9999908690503803,14.25
-2,16,2,16,16.1245154965971,-9.130949619295947e-6,1.1413660594428165e-6,0.000036719501703396924,1.9999908690503807,16.00000114136606,14.25
2,-16,-2,-16,16.1245154965971,9.130949619295947e-6,-1.1413660594428165e-6,0.000036719501703396924,-1.9999908690503807,-16.00000114136606,14.25
16,2,16,-2,16.1245154965971,1.1413660558901029e-6,9.130949619740036e-6,0.00003671950170339693,16.000001141366056,-1.9999908690503803,14.25
-17,6,-15,10,18.027756377319946,-5.706840868313634e-6,-8.56026659157294e-6,0.000041053650955539846,-15.000005706840868,9.999991439733408,14.25
-15,-10,-17,-6,18.027756377319946,3.4241087512043578e-6,-9.7016326492394e-6,0.000041053650953372085,-16.99999657589125,-6.000009701632649,14.25
-10,15,-6,17,18.027756377319946,-9.701632650127578e-6,-3.4241087547570714e-6,0.000041053650953372085,-6.00000970163265,16.999996575891245,14.25
-6,-17,-10,-15,18.027756377319946,8.56026659157294e-6,-5.706840866537277e-6,0.000041053650955539846,-9.999991439733408,-15.000005706840867,14.25
6,17,10,15,18.027756377319946,-8.56026659157294e-6,5.706840866537277e-6,0.000041053650955539846,9.999991439733408,15.000005706840867,14.25
10,-15,6,-17,18.027756377319946,9.701632650127578e-6,3.4241087547570714e-6,0.000041053650953372085,6.00000970163265,-16.999996575891245,14.25
15,10,17,6,18.027756377319946,-3.4241087512043578e-6,9.7016326492394e-6,0.000041053650953372085,16.99999657589125,6.000009701632649,14.25
17,-6,15,-10,18.027756377319946,5.706840868313634e-6,8.56026659157294e-6,0.000041053650955539846,15.000005706840868,-9.999991439733408,14.25
-3,2,-2,3,3.605551275463989,7.071309623851718e-6,4.714194377974934e-6,0.00003391283449894392,-1.9999929286903761,3.000004714194378,22.62
-2,-3,-3,-2,3.605551275463989,-4.714194377530845e-6,7.071309623407629e-6,0.000033912834497958586,-3.0000047141943775,-1.9999929286903766,22.62
2,3,3,2,3.605551275463989,4.714194377530845e-6,-7.071309623407629e-6,0.000033912834497958586,3.0000047141943775,1.9999929286903766,22.62
3,-2,2,-3,3.605551275463989,-7.071309623851718e-6,-4.714194377974934e-6,0.00003391283449894392,1.9999929286903761,-3.000004714194378,22.62
